Begin,End,Label,Type,Speaker
0.0,0.55,montreal,words,michael
0.55,0.91,forced,words,michael
0.91,1.358685,aligner,words,michael
0.0,0.11,m,phones,michael
0.11,0.2,ɑ,phones,michael
0.2,0.23,n,phones,michael
0.23,0.33,tʲ,phones,michael
0.33,0.37,ɹ,phones,michael
0.37,0.41,i,phones,michael
0.41,0.49,ɒ,phones,michael
0.49,0.55,ɫ,phones,michael
0.55,0.66,f,phones,michael
0.66,0.73,ɒ,phones,michael
0.73,0.8,ɹ,phones,michael
0.8,0.85,s,phones,michael
0.85,0.91,t,phones,michael
0.91,0.95,ə,phones,michael
0.95,1.03,l,phones,michael
1.03,1.15,aj,phones,michael
1.15,1.2,n,phones,michael
1.2,1.358685,ɚ,phones,michael
